Synset,isBasic_percentage,IsNotHard_percentage,TimeDiffs_sum,TimeDiffs_average,Depth
ability.n.02,1.0,1.0,48.79,4.879,0.2
accompaniment.n.02,0.1,1.0,33.657000000000004,3.3657000000000004,0.35
act.n.04,1.0,1.0,380.23999999999995,38.023999999999994,0.35
action.n.02,1.0,1.0,13.023,1.3023,0.2
activeness.n.02,0.0,1.0,19.111,1.9111,0.2
activity.n.01,1.0,1.0,9.928,0.9928000000000001,0.25
adar.n.01,0.0,0.9,55.351,5.5351,0.35
administrator.n.01,0.6,0.9,29.636,2.9636,0.45
advertence.n.01,0.2,1.0,26.993,2.6993,
affine.n.01,0.1,1.0,18.112,1.8112,0.45
affray.n.02,0.1,1.0,16.89,1.689,0.4
afternoon.n.01,1.0,1.0,16.817,1.6817,0.3
aid.n.02,0.8,0.8,21.042,2.1042,0.3
air.n.03,1.0,1.0,10.32,1.032,0.2
alcalde.n.01,0.0,1.0,33.861000000000004,3.3861000000000003,0.55
ally.n.02,0.3,0.9,59.400999999999996,5.940099999999999,0.45
american_labor_party.n.01,0.0,1.0,22.139,2.2138999999999998,
amount.n.02,0.9,1.0,20.179000000000002,2.0179,0.25
anagnost.n.01,0.0,1.0,39.188,3.9188,
anapest.n.01,0.0,1.0,10.431000000000001,1.0431000000000001,
answer.n.01,1.0,1.0,12.951,1.2951000000000001,0.25
antilogarithm.n.01,0.0,1.0,23.043,2.3043,
arboriculture.n.01,0.0,1.0,14.083,1.4083,0.65
argument.n.05,0.9,1.0,19.3,1.9300000000000002,0.5
armageddon.n.02,0.2,1.0,28.441,2.8441,0.4
arrest.n.02,0.8,1.0,32.634,3.2634,0.25
art.n.03,1.0,1.0,10.644,1.0644,0.3
art_class.n.01,0.5,1.0,17.89,1.7890000000000001,
art_nouveau.n.01,0.0,1.0,13.586,1.3586,
artwork.n.01,0.7,1.0,13.147,1.3147,0.2
assay.n.03,0.1,1.0,35.833999999999996,3.5833999999999997,0.35
assessment.n.03,0.4,1.0,37.534,3.7534,0.35
associateship.n.01,0.0,1.0,16.246,1.6245999999999998,
